Name,Latitude,Longitude,Venue_Id,Category_L1,Category_L2,Category_L3,Category_L4,Postal_Code
Double Coffee,53.564929106136354,9.98681608511257,4b0a64caf964a520b92323e3,Food,Coffee Shop,None,None,20146
Unser Markt,53.566118914362384,9.986788826666727,4d5fda70e4fe548136cb789e,Shop & Service,Food & Drink Shop,Grocery Store,None,20146
Hotel Vorbach,53.566219689644385,9.98811043694309,4b058858f964a52061bf22e3,Travel & Transport,Hotel,None,None,20146
Campus Suite,53.567433540656225,9.988290082289572,5141890de4b0096f7baad7e2,Food,Coffee Shop,None,None,20148
UNIPARK,53.56709510701684,9.987123279028859,4b9672eaf964a520d7cc34e3,Food,Café,None,None,20148
Gong,53.565453629561325,9.995083966991814,58400cf0af7d17640fd1c648,Food,Asian Restaurant,None,None,20148
Float,53.56739539162018,9.996206760406494,4d60f83b865a224bbda3b185,Shop & Service,Spa,None,None,20148
Torcello,53.567188,9.99569755,4b913a72f964a5209fab33e3,Food,Italian Restaurant,None,None,20148
The Fontenay,53.565146127382675,9.998299156085947,5aaf8e1b47f8760742a0bf7a,Travel & Transport,Hotel,None,None,20354
Bodos Bootssteg,53.56730541671698,10.001756884745618,4b05885af964a52027c022e3,Food,Café,None,None,20148
Anleger Rabenstraße,53.56733596315621,10.00207242461774,4c618e1d79d1e21e2dfbd315,Travel & Transport,Pier,None,None,20148
StadtRAD Leihstation 2213,53.56743362124522,10.001077651977539,50855892e412373d6fdde1dd,Travel & Transport,Bike Rental / Bike Share,None,None,20148
Feine Kost,53.567882009290116,9.988083943618797,4d9d9aeca1ec8cfa6fb2064a,Food,Falafel Restaurant,None,None,20148
Wochenmarkt am Völkerkundemuseum,53.568302287197895,9.988473815038962,4be5314a2457a593f63aab15,Shop & Service,Food & Drink Shop,Farmers Market,None,20148
Eiszeit,53.56897010894002,9.988334958557077,4c45b685f799e21e388dafa2,Food,Dessert Shop,Ice Cream Shop,None,20148
MARKK - Museum am Rothenbaum Kulturen und Künste der Welt,53.568488233248026,9.988692634569091,4b05885ff964a5207bc122e3,Arts & Entertainment,Museum,None,None,20148
Ristorante Verdi,53.568378,9.988435,4b964f33f964a52040c534e3,Food,Italian Restaurant,None,None,20148
Gurke,53.56880823970349,9.995343430716641,4b5b57baf964a52019f628e3,Nightlife Spot,Bar,None,None,20148
Anna Sgroi,53.570599341659936,9.997290320041332,517444c3e4b00121facea001,Food,Italian Restaurant,None,None,20148
Suliko - Georgian Cuisine & Wine,53.567679000000005,9.995322,591dcdca5c68387115c46b09,Food,Restaurant,None,None,20148
Harbeck's Henkelmann,53.568737495358455,9.995558899981502,5163d7c5e4b025f0d768bad1,Food,Restaurant,None,None,20148
Suzy Wong,53.57044546856136,9.995735711003837,4b451172f964a5204c0326e3,Food,Asian Restaurant,Chinese Restaurant,None,20148
Twenty Six,53.56806380597139,9.995477020632883,519369c7498e41e9c6588c08,Food,Mediterranean Restaurant,None,None,20148
Il Gelato,53.56821902356432,9.995500854811024,4b7d361af964a520eeb22fe3,Food,Dessert Shop,Ice Cream Shop,None,20148
Ristorante da Mario,53.570339229917266,9.996047647978033,4d0bb6a527f8a35dd29e2d13,Food,Italian Restaurant,None,None,20148
Latte Macchiato,53.56821442804846,9.995408558982946,4b5455dbf964a520dfb727e3,Food,Café,None,None,20148
Brians Steak & Lobster,53.5705088284607,9.996267403608352,542065d7498e3a898b0f7f3d,Food,Steakhouse,None,None,20148
mama trattoria,53.570629344153225,9.9951245297221,4b5064a3f964a5200d2227e3,Food,Italian Restaurant,Trattoria/Osteria,None,20148
La Bottega Dell Agnello,53.567641,9.995692,4b7bea72f964a5208e732fe3,Food,Italian Restaurant,None,None,20148
Kemp's,53.568153468332824,9.995401783041848,4b22c36bf964a5201f4d24e3,Nightlife Spot,Bar,Pub,None,20148
Schanzenbäckerei,53.5679595560347,9.995586869496199,4be93663d837c9b67020a606,Food,Bakery,None,None,20148
iHelp Store,53.570562726588925,9.99545173156998,4c99ea4feaa5a143cb57c7e4,Shop & Service,Electronics Store,None,None,20148
Ristorante La Tana,53.570347,9.995654,4bf1398bf45ec928ad8f943c,Food,Italian Restaurant,None,None,20148
Butcher's Steakhouse,53.57067910808536,9.997417460749359,4b50bdc0f964a5204e3027e3,Food,Steakhouse,None,None,20148
SportScheck Nachtlauf,53.57064559623091,10.001103591951617,4c1b9a33eac020a16b1545c2,Outdoors & Recreation,Athletics & Sports,None,None,20148
Außenalster,53.569230374643354,10.00751495361328,4b5e99a6f964a520ac9329e3,Outdoors & Recreation,Lake,None,None,22085
Am Rothenbaum,53.573372366338965,9.991480594875688,4c0a4b16a1b32d7f6e0599f0,Arts & Entertainment,Stadium,Tennis Stadium,None,20149
EDEKA Niemerszein,53.57257963920091,9.987640457731443,4b0c2286f964a5208c3723e3,Shop & Service,Food & Drink Shop,Supermarket,None,20146
Sushi Iô,53.57139691120281,9.988554443773811,4b978fc2f964a520eb0835e3,Food,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,20148
Swedish Cream,53.571808781194285,9.988802539088018,4b07e807f964a520ff0023e3,Food,Café,None,None,20148
Vapiano,53.57137603,9.98937994,4b13ba9af964a520b89823e3,Food,Italian Restaurant,None,None,20148
Bolero,53.57224836746269,9.988962747868367,4b5a36f9f964a520c4b428e3,Food,Mexican Restaurant,None,None,20148
Hallerplatz,53.57252797299439,9.988648113294053,4f01bf9d4690f6ecebf44090,Outdoors & Recreation,Plaza,None,None,20148
Cucina d’Elisa,53.571153422763246,9.988625485989127,4bd3350677b29c74de359082,Food,Italian Restaurant,None,None,20148
Dat Backhus Rothenbaumchaussee,53.57187516993682,9.988811741487957,4b86315ef964a520468231e3,Food,Bakery,None,None,20148
Wochenmarkt Turmweg,53.570872375808094,9.9921536740309,4ba1ee16f964a5205cd237e3,Shop & Service,Food & Drink Shop,Farmers Market,None,20148
St. Johannis,53.57089237899032,9.993436842985199,4bbf4ec2ba9776b0bcdbfec8,Professional & Other Places,Spiritual Center,Church,None,20148
Zwick,53.571902689791024,9.99472773901056,4b2a8170f964a52079aa24e3,Nightlife Spot,Bar,Dive Bar,None,20148
Block House,53.571840629537526,9.994769127190112,4b116a91f964a520237c23e3,Food,Steakhouse,None,None,20148
Der Club an der Alster,53.573779292759454,9.992298692296096,4b549287f964a5209bc027e3,Outdoors & Recreation,Athletics & Sports,Hockey Field,None,20149
Deutsche Bank,53.57122,9.99532,4df9d4bf18a8ab1870bc2609,Shop & Service,Bank,None,None,20148
Balzac Coffee,53.57093295681057,9.994979912371019,4b3a1243f964a520bd6025e3,Food,Coffee Shop,None,None,20148
EDEKA Niemerszein,53.570826100000005,9.9955738,4b140691f964a520f89b23e3,Shop & Service,Food & Drink Shop,Supermarket,None,20148
Budnikowsky,53.570813451249464,9.995433133951824,4ba08329f964a5206c7037e3,Shop & Service,Cosmetics Shop,None,None,20148
Alster-Laufstrecke | Alster Running Trail (Alster-Laufstrecke),53.57384296642602,10.001442432403564,4c1b0e108b3aa59347ae965f,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,Track,20149
Alstervorland,53.573779260021475,10.001142024993896,4da1d86e2939b1f76e63fd56,Outdoors & Recreation,Park,None,None,20149
Hochschule für Musik und Theater,53.57074411933837,9.998587126905157,4b05885ef964a52064c122e3,Professional & Other Places,School,Music School,None,20148
"""Seilgarten"" an der Alster",53.57130842850591,10.001801449800004,4eae5dd9b8f765aba1b39780,Outdoors & Recreation,Playground,None,None,20148
Anleger Uhlenhorster Fährhaus,53.57334814205759,10.007449883884204,4bd4061acaff95213220d6f0,Travel & Transport,Pier,None,None,22085
Erfrischungsraum,53.539924333229706,10.027007181348614,4eb929c40039f4f9edf48378,Food,Restaurant,None,None,20539
Al Lido,53.54192770137888,10.026631918851123,4b9c0769f964a5208f4236e3,Food,Italian Restaurant,None,None,20097
H Billhorner Brückenstraße,53.54053144021635,10.03173197469762,4e00bec5c65b896d116b451b,Travel & Transport,Bus Stop,None,None,20539
The Imperial Lasertag Academy,53.53778882107274,10.028683236296605,50547b6be4b0c7508ad8705b,Arts & Entertainment,Laser Tag,None,None,20539
Der freundliche Laden,53.5399205342354,10.042672273485316,4e37a9bc1838d056d2747eb4,Shop & Service,Convenience Store,None,None,20539
S Rothenburgsort,53.538583195096344,10.043586521322322,4b6479a6f964a5203ab62ae3,Travel & Transport,Light Rail Station,None,None,20539
Gedenkstätte Bullenhuser Damm,53.54201763507531,10.04752278327942,4dc11524c65b268b41d306bc,Arts & Entertainment,Museum,History Museum,None,20539
TourCar GmbH & CO KG,53.54131089999999,10.0392025,4ce371e3bebd37042f23a0a0,Shop & Service,Automotive Shop,None,None,20539
Badisches Weinhaus Michael,53.54051926829689,10.048523157650703,4f800195e4b0a458b98a2107,Shop & Service,Food & Drink Shop,Wine Shop,None,20539
Kleingartenverein Bille,53.54035557051757,10.069714890763805,4db560efa86e8d2707958178,Outdoors & Recreation,Garden,None,None,20537
Südpol Hamburg,53.54570449360421,10.03282511570223,53954b8c498e8a555aeb8118,Arts & Entertainment,Performing Arts Venue,Dance Studio,None,20537
Louis Fun Company GIGAStore,53.545176440478755,10.029547482981748,4b308032f964a520e4f924e3,Shop & Service,Motorcycle Shop,None,None,20097
SUBWAY,53.54405889238471,10.025384177977344,4c57f90e744a0f47a613cacb,Food,Sandwich Place,None,None,20097
Pic-a-Deli,53.54456139600328,10.025334522988565,4b155478f964a52006ab23e3,Food,Italian Restaurant,None,None,20097
VaVeloce,53.5447741624389,10.02881929436391,4cb5a3d052edb1f7fa8868fe,Food,Italian Restaurant,None,None,20097
Ristorante Alitalia,53.54513999190639,10.025327331269354,4bbc73663de8c9b6bff09aad,Food,Italian Restaurant,None,None,20097
Schanzen Bäckerei,53.544717350745906,10.028567896633994,4c3db193b169c9b69e544768,Food,Bakery,None,None,20097
InnoFit,53.5436852026048,10.029403971647184,5329315e498e2ee86c62ef3f,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,Gym,20097
Star Finanz GmbH,53.54373431038808,10.02779821856696,4e44de6952b18fcc79a02a2e,Shop & Service,Business Service,None,None,20097
eprofessional,53.54626186464224,10.029079914093018,4b39d011f964a520185f25e3,Shop & Service,Business Service,None,None,20097
Chiyo Sushi Bar,53.544363,10.026389,59afc9ac2aff313828d40be8,Food,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,20097
H Süderstraße,53.545385796612,10.030545943541755,4d3830560f81b60cc3893d3a,Travel & Transport,Bus Stop,None,None,20097
Elbe Motorboot Club,53.545819751965475,10.043927239151792,50575f01e4b0150f2ff282a5,Outdoors & Recreation,Harbor / Marina,None,None,20537
Restaurant Euroshell,53.546614,10.040019000000001,4bed2aea91380f47e27b9f18,Food,German Restaurant,None,None,20537
Hallo Festspiele,53.5426790798977,10.036832342247783,5560a2ba498efda10bc5900e,Arts & Entertainment,Circus,None,None,20537
Hotel an Der Bille,53.54451490293628,10.040282524134316,50f87764e4b024030cd93071,Travel & Transport,Hotel,Bed & Breakfast,None,20537
Stadtreinigungskantine,53.54445157925004,10.036766061195962,4f97d4c9e4b0d3c3acdeef97,Food,Food Court,None,None,20537
Musikbunker,53.545191609796255,10.050042837608174,4de25191d4c0704405688af7,Arts & Entertainment,Music Venue,None,None,20537
Schwärmerei,53.54287379495723,10.050983805635195,500abf6fe4b0db14bc9b68b9,Outdoors & Recreation,Playground,None,None,20539
Grünanlage Hammer Deich,53.54450376,10.05045139,4dc1250dae60533f34ea8f6f,Outdoors & Recreation,Scenic Lookout,None,None,20537
Jawa,53.547210617927654,10.026513757731477,538e0944498eecce5c71950c,Food,Asian Restaurant,Indonesian Restaurant,None,20097
Olivio,53.54696306552974,10.025541733523744,50ed57d9e4b00ef14b381390,Food,Italian Restaurant,None,None,20097
Fresh Food Factory,53.54699502057604,10.02566739395048,51a70116498ebcdee69163a3,Food,Soup Place,None,None,20097
cenito Mitarbeiter Restaurent,53.55137938188437,10.032775158061414,4e8d8bfc29c2f3881256391d,Food,Restaurant,None,None,20537
Auto Wichert,53.54861356320552,10.033420085805949,4b504db9f964a520162027e3,Shop & Service,Auto Dealership,None,None,20537
Zeder,53.551027766847355,10.035637261901913,590c4bfccab410306bc5d87d,Food,Gastropub,None,None,20537
Fabrikverkauf Langnese-Iglo,53.549751822627954,10.034476253851606,4bab54bbf964a52014a13ae3,Shop & Service,Food & Drink Shop,None,None,20537
Hapag Loyd Kreuzfahrten,53.55127111228123,10.026701151194633,4bb44cc4bd4b9c74758932f5,Travel & Transport,Boat or Ferry,None,None,20097
CrossFit Hammerbrook,53.5500123,10.0364747,51c33b6c498e9c5ea54414d8,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,Gym,20537
Food Brothers,53.5498143930468,10.035643200515876,55dee72e498e809005698163,Food,Bistro,None,None,20537
BO hotel,53.54936823316391,10.036714530361076,5565906f498e95b137ce8567,Travel & Transport,Hotel,None,None,20537
KPN International,53.55065910158306,10.038660757272648,4c0f3a5f336220a15286cd77,Shop & Service,IT Services,None,None,20537
Zum Pferdestall,53.550369765344016,10.047884337564998,4b98fa45f964a520db5935e3,Food,German Restaurant,None,None,20537
SIXT rent a car,53.54917504364714,10.038998052477835,4bd5d171637ba5932e14f770,Travel & Transport,Rental Car Location,None,None,20537
Mahlzeit,53.55089061423998,10.03929212743305,4c860e2dd4e2370498918788,Food,German Restaurant,None,None,20537
Der Chinese am Fleet,53.55099860624497,10.053626323083694,4d98744b0caaa1434d93acb3,Food,Asian Restaurant,Chinese Restaurant,None,20537
Croque Lagune,53.55099203911315,10.05709871,4b926823f964a52053f733e3,Food,Sandwich Place,None,None,20537
Apartment Hotel Hamburg Mitte,53.54823066400672,10.051337632761133,4e6647e7d4c06542ac930d43,Travel & Transport,Hotel,None,None,20537
H Osterbrookplatz,53.547063543677886,10.057425983468967,4b77bd5bf964a520d6a82ee3,Travel & Transport,Bus Stop,None,None,20537
IPHH,53.549710354992925,10.048467140105387,4bbefa33006dc9b63fdefb3f,Shop & Service,IT Services,None,None,20537
REWE,53.5497581705176,10.066021930059376,5690fc2e498ed8487fc21d63,Shop & Service,Food & Drink Shop,Supermarket,None,20537
Freibad Aschberg,53.54733100000001,10.063725,4c39a29518e72d7f39861af5,Outdoors & Recreation,Pool,None,None,20537
McFIT,53.549688219294424,10.065190504299151,4b3b2125f964a520fa7025e3,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,None,20537
REWE Getränkemarkt,53.550530211709535,10.060884174820165,4ce283a5db125481188e47ce,Shop & Service,Food & Drink Shop,Supermarket,None,20537
B&B Hotel Hamburg City-Ost,53.5524201,10.0283583,57f370aecd107cfe93e1a40c,Travel & Transport,Hotel,None,None,20537
Lex Bar,53.55202189283863,10.031409525747193,555fa660498e1b698013042e,Nightlife Spot,Nightclub,None,None,20537
4mosa,53.55236759759593,10.039272690002509,4ead8ffe29c2a9bb97acb562,Food,Asian Restaurant,None,None,20537
Avis Deutschland,53.55238446689045,10.044715177186843,4da81797b94ee121ac61e619,Travel & Transport,Rental Car Location,None,None,20537
Tinka Helas Pizzahouse,53.551566197711274,10.053802662052334,4dfb8977d164f73de7cd7245,Food,Greek Restaurant,None,None,20537
JUFA Hotel Hamburg HafenCity,53.540127000000005,10.009191,5ae35b3ccbcdee0039a039c3,Travel & Transport,Hotel,None,None,20457
U HafenCity Universität,53.54063669552106,10.007166228842033,50b67ef6e4b0fd24a2e37ee6,Travel & Transport,Metro Station,None,None,20457
Deutsches Zusatzstoffmuseum,53.540721809147186,10.021044015884401,4cb58ed8589f236a2fdb303d,Arts & Entertainment,Museum,None,None,20097
Brandshofer Schleuse,53.54073336030615,10.02469648416612,5002b4e8e4b02f063d47fd02,Outdoors & Recreation,Harbor / Marina,None,None,20097
hamburger bernstein hotel,53.541647023662655,10.033494360604667,556005aa498e4cb512931b25,Travel & Transport,Hotel,None,None,20539
Elbegalerie,53.54128000000001,10.034201,5b773922a2c00b002cf66a23,Travel & Transport,Hotel,None,None,20539
Pastaria Hamburg,53.54480920234586,10.025197277250342,4b5069b9f964a520912227e3,Food,Italian Restaurant,None,None,20097
Asia Imbiss Schnell Büfett,53.546016144211734,10.02436795074452,520cbf2711d299882fd5eb2c,Food,Asian Restaurant,None,None,20097
car2go,53.55064599999999,10.016850000000003,50654b0be4b0a396baa12e2f,Travel & Transport,Rental Car Location,None,None,20097
Badshah,53.55412975680636,10.011170483797516,4b13e493f964a520389a23e3,Food,Indian Restaurant,None,None,20099
Saray Köz Restaurant,53.553302,10.0135045,5afd7706418686002c3ea831,Food,BBQ Joint,None,None,20099
Boutique 020 Hamburg City,53.55422900000001,10.009775,5a5c877fa9fe120acd3f6f32,Travel & Transport,Hotel,None,None,20099
Museum für Kunst und Gewerbe,53.551453105240356,10.009743073368679,4b05885ff964a5207ac122e3,Arts & Entertainment,Museum,Art Museum,None,20099
Köz Ocakbaşı,53.552840137181406,10.010910630226137,4c17bf4b834e2d7f07d52780,Food,Turkish Restaurant,None,None,20099
Savoy,53.55421966595066,10.014096076646355,51c16bf8498e3becde01372e,Arts & Entertainment,Movie Theater,None,None,20099
Falafel L'Amira,53.554242,10.014367,56abc81038faa5155c51fb20,Food,Falafel Restaurant,None,None,20099
Policke Herrenkleidung,53.55316519971692,10.017305016517641,4bf80edab182c9b68ebe765a,Shop & Service,Clothing Store,Men's Store,None,20099
Loving Hut,53.553915,10.019435000000001,5661e19e498e79f35bfa40c6,Food,Vegetarian / Vegan Restaurant,None,None,20099
Luncheria Lindenplatz,53.55311691642586,10.018876558869378,4d95b1c20caaa143f55063b3,Food,Italian Restaurant,None,None,20097
Öz Urfa Kebap Salonu,53.55455235591303,10.014530950697138,4ba4c4d1f964a52029b338e3,Food,Turkish Restaurant,Doner Restaurant,None,20099
Fräulein Fritz,53.553927892046296,10.0183659233745,50c09d33e4b099045d90b5c7,Food,German Restaurant,None,None,20099
Back-Lava,53.55442610542789,10.014766724716653,5056f04be4b0f42fb7f51584,Food,Café,None,None,20099
La Famiglia,53.553986918525524,10.016388978917151,4c4088805faf76b0c3344820,Food,Italian Restaurant,None,None,20099
Singh,53.55446800000001,10.014011,577cde78cd107b1fb4e4ca6e,Food,Indian Restaurant,None,None,20099
Ankara Kebab - Tantuni,53.554576387108604,10.015917036941689,4c7116b9df6b8cfad011ba4d,Food,Restaurant,None,None,20099
Novum Style Hotel Hamburg-Centrum,53.55449091909954,10.01504123210907,4df929f1d22d964c6b9934b8,Travel & Transport,Hotel,None,None,20099
Lindenbazar,53.554641450672456,10.017037704816277,4b927129f964a520c2f933e3,Shop & Service,Food & Drink Shop,Grocery Store,None,20099
Junges Hotel Hamburg,53.55207763466475,10.017918457535933,4b815a61f964a5200ba130e3,Travel & Transport,Hotel,None,None,20097
Afiyet,53.55423678477669,10.016503753088703,5385c0b9498e374c5c57e925,Food,Halal Restaurant,None,None,20099
Hotel City House,53.55324873405528,10.015064860624713,4b058858f964a5205abf22e3,Travel & Transport,Hotel,None,None,20099
Batman,53.554325067494105,10.014231552840558,4c0127cecf3aa593c485ccb0,Food,Turkish Restaurant,Doner Restaurant,None,20099
Sleephotels,53.55410799999999,10.014092,5838a3ec6cea3f6266643806,Travel & Transport,Hotel,None,None,20099
McDonald's,53.55289075021822,10.019918009832898,4b582f60f964a520474d28e3,Food,Fast Food Restaurant,None,None,20097
Best Western Plus Hotel St. Raphael,53.5529580523114,10.016363561153412,4b058859f964a520c7bf22e3,Travel & Transport,Hotel,None,None,20097
real,53.55293721195604,10.020389647475357,4b278cb7f964a520488724e3,Shop & Service,Big Box Store,None,None,20097
Bistro Vegetario,53.55306922485794,10.02152055792135,4ce11d3078ddf04dc6aaa998,Food,Vegetarian / Vegan Restaurant,None,None,20097
Vinh Thanh Asia Supermarkt,53.553363897137395,10.022585087301,4c4f0f9b9932e21e7d3ec5ce,Shop & Service,Food & Drink Shop,None,None,20097
Nur Hier,53.55330732770307,10.021985691332484,4db7ad0b6e81c67f61bdb6d4,Food,Bakery,None,None,20097
Brot & Brötchen,53.5533751958109,10.022115229958343,4b8626cef964a5203d8131e3,Food,Bakery,None,None,20097
Döner-time,53.55326142628672,10.022234917848051,56c6fd72498eeed0c1337e76,Food,Turkish Restaurant,Doner Restaurant,None,20097
Mac City Hostel,53.5533065456137,10.022567138391492,5650a543498e6359d7dd043f,Travel & Transport,Hotel,Hostel,None,20097
POLO Motorrad Store Hamburg,53.551426827541256,10.025218210080537,4c56876d6418a593314b7d0e,Shop & Service,Motorcycle Shop,None,None,20097
Ring der Einzelpaddler,53.55628937788885,9.79076481554257,519d238d498eab4ebdcbe06d,Outdoors & Recreation,Lake,None,None,22587
Ponton Op'n Bulln,53.555916,9.805280999999999,4c46be1496abd13a5b956e01,Food,Seafood Restaurant,None,None,22587
Strandweg,53.554257776757844,9.820509334882324,4eeb2eff99119cf9cdcf8697,Outdoors & Recreation,Trail,None,None,22587
Fischclub Blankenese,53.55604120424592,9.804523490338898,4b17f339f964a52014ca23e3,Food,Seafood Restaurant,None,None,22587
Sagebiels Fährhaus,53.557390701137074,9.805502393620888,4b058860f964a520fcc122e3,Food,Restaurant,None,None,22587
Strandhotel Blankenese,53.556351510649996,9.80812984314097,4b058858f964a52097bf22e3,Travel & Transport,Hotel,None,None,22587
Fähranleger Blankenese,53.55597002598878,9.804760272463355,4e380919c65bf39cbb3430dd,Travel & Transport,Pier,None,None,22587
Op'n Bulln,53.55597593042994,9.80480432510376,4bf95ac14a67c928c9ad26cf,Outdoors & Recreation,Harbor / Marina,None,None,22587
Elbspaziergang,53.55680272812226,9.80484666009728,4b3f604df964a52024a625e3,Outdoors & Recreation,Beach,None,None,22587
Ahrberg,53.556799753631324,9.804565934709727,4b058860f964a520dac122e3,Food,Seafood Restaurant,None,None,22587
Strandhof Blankenese,53.55676916666667,9.805492999999998,4c755ae8b474a1cd1506b9bf,Food,German Restaurant,None,None,22587
Blaue Lagune,53.554026,9.823902,4de78d89c65b4e07db025800,Food,Snack Place,None,None,22609
Mühlenberger Segel-Club e.V. (MSC),53.55433000000001,9.823174,59007b1e4420d8476a6b4c73,Outdoors & Recreation,Harbor / Marina,None,None,22609
MAATS,53.554161,9.823872,5aad44ad0881583a114c70a1,Shop & Service,Convenience Store,None,None,22609
Strand Falkensteiner Ufer,53.56246348021943,9.775128364562988,4bdd8b29d33f2d7f2e1e8b3c,Outdoors & Recreation,Beach,None,None,22587
Elbe Camp,53.56437940944216,9.76764555345958,4bb0b77ef964a5202b573ce3,Outdoors & Recreation,Campground,None,None,22587
Hundestrand Falkensteiner Ufer,53.56235773412745,9.776222714588704,50142a42e4b0dd18eca71a6f,Outdoors & Recreation,Dog Run,None,None,22587
Cafe Lukus,53.564303151706845,9.76768844307457,4e2d85bafa76bbf847ee3fb6,Travel & Transport,Hotel,Bed & Breakfast,None,22587
Lütt Falkensteiner Ufer,53.562296999999994,9.779724,53a71f9a498ea5554f7bc819,Food,Snack Place,None,None,22587
Elbstrand Blankenese,53.55797710788743,9.796972274780273,5011693be4b0dd18eb6d7548,Outdoors & Recreation,Beach,None,None,22587
Leuchtturm Unterfeuer Blankenese,53.55809711064328,9.795807398178745,4bf8f9a85efe2d7f23956b34,Outdoors & Recreation,Lighthouse,None,None,22587
Kajüte SB 12,53.55855138506307,9.795346751802283,4b6e95e1f964a520fbc22ce3,Food,Seafood Restaurant,None,None,22587
Seven Seas,53.55944342373114,9.801006867126425,4b058861f964a52030c222e3,Food,French Restaurant,None,None,22587
Süllberg Hotel,53.55949798429108,9.80099495937034,4bc8ec72762beee183b43d38,Travel & Transport,Hotel,None,None,22587
Zum Bäcker,53.558061996560404,9.797915892212249,4bf8fdf0508c0f4704ff3e31,Food,Restaurant,None,None,22587
Römischer Garten,53.561259597426826,9.786674014260823,4dc5381e52b1e8f9f7cd8451,Outdoors & Recreation,Garden,None,None,22587
Witthüs,53.55912420773004,9.813931744053246,4b05885af964a52000c022e3,Food,Tea Room,None,None,22587
Dal Fabbro,53.559498071208715,9.811344801150808,4b2fdbbff964a52063f124e3,Food,Italian Restaurant,None,None,22587
Treppenviertel Blankenese,53.55799547028379,9.809088860777328,4b05885ef964a52055c122e3,Outdoors & Recreation,States & Municipalities,Neighborhood,None,22587
Echt Asien,53.563263,9.811584,53d2b6a3498e2d92df551f93,Food,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,22587
Lühmanns Teestube,53.56373179999578,9.808223758214902,4b058859f964a520d6bf22e3,Food,Tea Room,None,None,22587
Kaffeegarten Schuldt,53.55880949494344,9.801465612162016,4bc9cbdd0687ef3bd776dacc,Food,Café,None,None,22587
Goa Tandoori Restaurant & Bar,53.562008,9.819445,56e2aa7dcd10a88c54911e1d,Food,Restaurant,None,None,22587
Blankeneser Markt,53.56118548535862,9.811670337925692,4cf0c3dc7bf3b60c6dbb5b7f,Outdoors & Recreation,Plaza,None,None,22587
Filón,53.55923894819593,9.810962677001953,4b129263f964a520ed8a23e3,Food,Spanish Restaurant,Tapas Restaurant,None,22587
Cafe Stern,53.558579893898994,9.811849423336007,4fe3142be4b053fe13d34303,Food,Café,None,None,22587
EIS Schmidt,53.56112499521803,9.811868481084868,4cb1b7ccef1b3704bc6c4500,Food,Dessert Shop,Ice Cream Shop,None,22587
Carroux Kaffeerösterei,53.55865006136014,9.812060203455953,4b9b8230f964a520db0b36e3,Food,Café,None,None,22587
EDEKA Feinkost Kröger,53.5598958,9.811599699999999,4e084edeaeb74c3991155023,Shop & Service,Food & Drink Shop,Supermarket,None,22587
dm-drogerie markt,53.56410529530447,9.812823513422359,5b7c0f2e1f8ed6002c1e0efa,Shop & Service,Drugstore,None,None,22587
Bistro Süllbergterrassen,53.55933717082286,9.801220633060208,4d6a6b71b6f46dcb754c30b2,Food,Snack Place,None,None,22587
Riva Bistro Cafe Bar,53.561147999999996,9.811408,4bf2f2d36a31d13a3f18942e,Food,Café,None,None,22587
mama trattoria,53.56237018370736,9.812359876215796,54cf86b2498e0f69e485f82a,Food,Italian Restaurant,Trattoria/Osteria,None,22587
Deutsche Bank Filiale,53.56256577525071,9.811843749091167,4b20804ef964a520c13224e3,Shop & Service,Bank,None,None,22587
La Casa del Gelato,53.56174222299246,9.811876533634123,4c62afe24be3b7137196dee8,Food,Dessert Shop,Ice Cream Shop,None,22587
Starbucks,53.563595414988136,9.81422668759456,4b1f8c8ff964a520de2624e3,Food,Coffee Shop,None,None,22587
Peter Pane Blankenese,53.563094026404286,9.815631743029822,5852faa09f25833d2168628c,Food,Burger Joint,None,None,22587
Linde Bar-Restaurant,53.5622677056132,9.818254552942397,4b33f71ef964a520f72225e3,Nightlife Spot,Bar,Pub,None,22587
REWE,53.56458386707468,9.814028636437909,4b45c40bf964a520041026e3,Shop & Service,Food & Drink Shop,Supermarket,None,22587
Rio Grande,53.56174475210752,9.82004485147092,4bf8454f8d30d13ae0740018,Food,Steakhouse,None,None,22587
Dat Backhus,53.560407075613824,9.81117633219959,4cc28ef1d43ba14383cc59f8,Food,Bakery,None,None,22587
Treppenkrämer,53.557908,9.802905,4b095c7ff964a5202f1623e3,Food,Café,None,None,22587
Almhütte Süllberg,53.55932611057762,9.801299030166936,4d10f2c259606dcb30cc783e,Food,German Restaurant,Bavarian Restaurant,None,22587
Roederer's,53.560943,9.811397,566c2abd498e30e4761e5b66,Food,Café,None,None,22587
Dat Backhus S-Bahn Blankenese,53.563562018663596,9.813821095376236,4c46af94417b20a1c154dba9,Food,Bakery,None,None,22587
AsiaHub,53.563999,9.813139,524709a811d259d9f192cbba,Food,Asian Restaurant,None,None,22587
Dockenhuden S,53.561588,9.819962,56feb728498e5c3d00b3ff81,Nightlife Spot,Bar,None,None,22587
Blankeneser Imbiss,53.564015825394534,9.814185482512794,4eb2881a4690370e0c8e04ad,Food,Fast Food Restaurant,None,None,22587
